trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
88,False,"{'a': 0.1, 'e': 0.9157205572498945}",25,0,-105.43490893422795,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
89,False,"{'a': 0.1, 'e': 0.9148048366926447}",20,0,-90.4854391043003,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
90,False,"{'a': 0.1, 'e': 0.913890031855952}",30,7,-62.72587757953541,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 0}",1
91,False,"{'a': 0.1, 'e': 0.912976141824096}",20,0,-18.278532814597487,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
92,False,"{'a': 0.1, 'e': 0.912063165682272}",25,0,-112.2362297932437,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
93,False,"{'a': 0.1, 'e': 0.9111511025165897}",20,0,-145.09935059312332,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
94,False,"{'a': 0.1, 'e': 0.9102399514140731}",30,0,-152.3691302022769,"{0: 20, 1: 2, 2: 4, 3: 2, 4: 2}",0
95,False,"{'a': 0.1, 'e': 0.9093297114626591}",20,0,-62.149880829374574,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
96,False,"{'a': 0.1, 'e': 0.9084203817511963}",20,0,-105.84279196224576,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
97,False,"{'a': 0.1, 'e': 0.9075119613694451}",30,12,-55.63311270077062,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 0}",1
98,False,"{'a': 0.1, 'e': 0.9066044494080757}",20,0,-73.30588537278508,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
99,False,"{'a': 0.1, 'e': 0.9056978449586677}",20,10,-79.20763559954666,"{0: 4, 1: 3, 2: 1, 3: 1, 4: 1}",1
100,False,"{'a': 0.1, 'e': 0.9047921471137089}",20,0,-45.963718985609596,"{0: 11, 1: 6, 2: 3, 3: 0, 4: 0}",0
